sentence_id;sentence_text
1386;The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.
1378;I recieved prompt service with a smile.
1183;The soup is pretty good too.
1118;If you go to Roth's try to be served by Mike, he is GREAT!!
1287;I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.
1094;The food is amazing!!!!
1493;The owner is very friendly and a great guy, go try his pizza, you'll like it!
1014;The atmosphere is great!!!
1434;If your favorite Chinese food is General Tao chicken, then this is NOT your place.
1050;Not only is the cuisine the best around, the service has always been attentive and charming.
1680;The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.
1671;Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.
1677;The only positive was the wait staff, which was prompt, knowledgable, and likeable.
1412;I am not a vegetarian but, almost all the dishes were great.
1662;$20 for all you can eat sushi cannot be beaten.
1176;I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!
1340;Decor is minimalist and clean - nothing to distract or commend.
1111;His drinks are very inventive, delicious and classy.
1279;Awsome Pizza especially the Margheritta slice.
1006;I've been to several places for Dim Sum and this has got to be the WORST.
1621;Go to Volare for 1st class service and terrific food.
1041;The people in the restaurant were pretty obnoxious and loud.
1089;The sandwiches are dry, tasteless and way overpriced.
1532;Made my dining experience uncomfortable.
1509;still stay away, the table next to us walked out after my table and aanother were serves eventhough they were there much longer...
131;Big Wong gets big Ups for a fine establishment.
1580;The staff was the friendliest that have seen in New York.
1436;my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).
1370;I'm still mad that i had to pay for lousy food.
1353;Decent Thai food in cute - though a bit dank - little Nolita hangout, BUT service terrible.
1645;$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.
1054;But they don't have a toaster, which is strange.
1040;So, for good food i'd recommend it, but not for a fun night out.
1324;A must for all the Dosa lovers.
1477;The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.
1564;People are always friendly.
1069;The cream cheeses are out of this world and I love that coffee!!
1382;It was not above ordinary and the beef version had cheap (undercooked) beef.
1128;It was nice and fresh, but I can't give it high scores on being authentic thai.
1576;This place must have cost the owners afortune to build.
1191;Knowledge of the chef and the waitress are below average.
1673;Decent wine selection too.
1415;Disappointing food, lousy service.
1660;Stuffing yourself with Japanese food is a rare thing.
1575;Our family never expected such incredible entertainment in a restaurant.
1608;Great pizza for lunch place.
1418;I noted it was crossed off on the bill.
1644;The all you can eat deal is truly amazing here.
1822;All of the pizzas are terrific and the price is even better!
1594;The food was good too.
1327;The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.
132;They have it all -- great price, food, and service.
1029;I found the variety of the sashimi plate to be satisfying - fresh and yummy.
163;We couldn't carry our conversation as we were routinely interrupted by waitress and servants asking us to order and hinting that we're taking too much time -- amazing, we just sat down.
1017;sometimes i get good food and ok service.
1339;Went for a late weekday lunch.
1140;Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.
1174;Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.
162;Went on a double date with friend and his girlfriend for a few drinks and appetizers.
1216;Great place to grab a hot bagel on the way to work.
1304;We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.
1335;While we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and SLOW service) and lack of remorse.
1344;A touch more jalapeno heat for contrast and it would have been very good indeed.
1381;Tried the pad see ew on the recommendation of the last reviewer since it's one of my favorite dishes.
1840;The location is perfect.
1363;This food is asian-air fusion.
1065;Nothing fancy but really good food with pretty reasonable price.
1099;Once for dinner and once for brunch.
1114;From the moment you enter till the moment you walk out the friendly and helpful staff was was just Fantastic.
1095;The quality of food at this restaurant accompanied  by fantastic live jazz makes this place a perfect 10!
1240;Apparently, the good cook works then.
1787;The Yellowtail was particularly good as well.
1244;Were meeting up with some friends for a drink at Lafayette 161 and happened to walk by Thai Angel famished.
1343;Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.
1779;The owner and staff are all Japanese as well and that adds to the entire ambiance.
142;Try the congee and the donut like deep fried dough they call Ow Ley Soh, a delicious and sweet tasting bread.
1204;Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.
1606;Both are delicious, the cooks are friendly and are willing to take a moment and speak to you and shake your hand.
1424;my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.
1294;They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.
1393;I really liked the noodle dishes at Rice Avenue compared to their Green Curry dish.
1317;But for whatever reason, prices are about twice as high.
1213;I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.
1281;Great atmoshere and worth every bit.
1738;Great staff.
1081;Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!
1117;To finish off such a delightful dinner experience you must have dessert, especially the White Chocolate Bread Pudding with Gelato and hot chocolate.
1015;A cool place to hang with your friends for a couple of healthy drinks and desserts.
1607;The service is a bit slow, but harkens back to my years growing up in Napoli, Italy where things are not rushed and when you sit down for dinner the table is yours all night.
1355;Drinks got screwed up, she acted put upon.
1173;At 5 dumplings for $1, you just cannot go wrong.
1470;But the pizza is way to expensive.
1595;We had a wonderful meal at Naples 45 a month ago on a visit to NYC.
1018;sometimes i get bad food and bad service, sometimes i get good good and bad service.
1837;Good, fast service.
1296;They charge different prices all the time.
165;In terms of the food itself -- nothing special, we limited ourselves to several appetizers.
158;We were fast to order the appetizer platter since we were very hungry.
1546;Maybe I say so because it looked promising for people who like artery-clogging jewish deli food, but turns out to be poorly run and awful.
1747;Wait staff is blantently unappreciative of your business but its the best pie on the UWS!
1481;The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.
1767;Fish is so very fresh.
1039;The decor is really blah, and not at all hip or happening.
1547;It appears to be the owner's first venture and it shows.
1714;I only tried a simple dish of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.
1329;We had reservations at 9pm, but was not seated until 10:15pm.
1704;One should not go to Lucky Strike for the food.
1196;The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.
16;night without a reservation, we had to wait at the bar for a little while, but the manager was so nice and made our wait a great experience.
124;The food there are sastifying.
1681;Most of the servers are very attentive, friendly and quite attractive.
1734;Service is average.
1768;Waitstaff are very friendly.
1664;Service was slow had to wait to order and get food although not crowded.
1585;I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.
1667;I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.
1497;We had the most wonderful waitress.
1116;The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.
1045;Make sure you have the Spicy Scallop roll.. .
1650;This big draw is the all you can sushi here for $19.95!
1835;Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.
1023;They've the best desserts and mixed drinks as well as snack foods.
1062;Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.
1722;The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).
1218;Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?
1387;Try the Pad Se-Ew or Chicken with Cashew Nuts for a memorable and repeatable experience.
1301;The food was absolutely horrible!
1559;Food doesn't appear to be cooked on premisis but there's a high turnover so its pretty fresh.
1655;Not the greatest sushi place, but excellent for a $19.95 all you can eat.
1254;The Thai ice tea was amazingly smooth and yummy!
1665;Drinks way over priced.
1845;However, service was as plain as sesame crusted Salmon I had.
149;It's great to go for a quick lunch either alone or with a friend.
1713;Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!
1323;The music is the best among all the Indian restaurants I have visited.
1322;one of the best Chicken Tikka Masala.
184;The kitchen however, is almost always slow.
1328;Also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...
1482;The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.
1372;Service was also horrible and the ambience is not that great.
1602;Service is great, takeout is good too.
1473;The pizza is overpriced and soggy.
1675;For the quality of food, a little too expensive.
1730;Salads are a delicious way to begin the meal.
1120;I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.
1668;Should you happen to be impressed by the cuisine definitely try it.
1357;Total hipster-wannabe attitude in an otherwise sweet spot.
1670;Yes, there might be a wait if you have no reservations.
1488;The sicilian is my favorite it is moist not dry like most places but all their pizza is great!
136;The takeout is great too since they give high quality tupperware as well.
1096;This is definitely an  excellent date spot because of the ambiance and on the weekends the  night scene is more than alive.
1591;I loved everythig about it-especially the shows and actors.
1844;Everything looks great, the drinks, the decor, the food, even the people.
1618;We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.
1800;We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.
1002;The view is spectacular, and the food is great.
1181;The place wasn't too hard to find, but it was kind of packed, as soon as my boyfriend and I got our food, the line reached the door.
1052;Good bagels and good cream cheese.
1739;Always great service!
1583;I LOVED THE SHOWS.
1469;The pizza is yummy and I like the atmoshpere.
1691;Good food.
1666;Food was good not great not worth the wait or another visit
1384;Incredible food at a very agreable price brings me back just about every other day to this authentic Thai restaurant.
1167;As soon as I wake up on a saturday or sunday it is the first thing on my mind is when and how I will be getting to fried dumpling.
1457;My wife and I will usually only order one primi and one secondi and split them, as they tend to offer large portions.
1530;I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.
1799;Every waitress and customer who passed by me bumped into my chair.
1433;It is run by the same Sichuan chef who started the chain in Chinatown.
1200;If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.
1318;It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.
1563;Authentic Pakistani food.
1459;The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.
1597;Quality ingredients preparation all around, and a very fair price for NYC.
1441;My entree of hot pot with seafood was full of imitation crabmeat with a couple pieces of shrimp and squid, and was unnecessarily heated with a burner.
1305;In fact, while leaving the place we saw two people looking at the menu, and I couldn't help telling them that the food was horrible.
1438;If you want Americanized Chinese food with your usual watery, generic white sauce, this is your place.
1570;The food however, is what one might expect.
1454;The only possible drawback to this last point is that as of the date of this posting, the additional menu items are only written in Chinese.
1206;The place is small and cramped but the food is fantastic.
1164;The food there is so good that even to order out the wait is incredible.
1846;The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.
110;If anyones has doubt of not knowing enough about wines,please check their wine list.
1612;Have the iced tea.
1226;you can actually get 2 salads worth if u take it home and add it to some lettuce!
1182;The food is very good for it's price, better than most fried dumplings I've had.
1303;There are much better places in NY with better prices.
1313;I ate here a week ago and found most dishes average at best and too expensive.
1100;Both times I was extremely dissappointed by the service, which was boarderline rude.
1786;The spicy Tuna roll is huge and probably the best that I've had at this price range.
153;This is one of the best comfort food places in the city.
1346;Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.
1686;Considering their price of $6.25 for lunch special, the dish was ridiculously small.
1067;Compared to Ess-a, Tal offers a less doughy bagel!
1190;You have to increase the service a lot.
1275;Nothing better than buying a snapple for $3.25 too.
1385;Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.
1088;The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.
1157;Right off the major deegan you get ladies from all over the city.
1129;The food was very good, but not very thai.
1078;The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.
1268;The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.
1151;Well, this place is so Ghetto its not even funny.
1227;Bagels are ok, but be sure not to make any special requests!
1409;I've had the lunch buffet at Chennai a couple of times, when I have been in the neighborhood.
135;And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).
1456;You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.
1271;The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.
1631;The wine list is extensive and can easily hike up an otherwise reasonably priced meal.
1371;The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.
1596;Our son loves pizza and we have a certified Neapolitan pizzaria in our home city (Seattle), we liked this nearly as much - and the differences were more about personal preference than any reflection on either restaurant.
1232;big and soft as well as good lunch food.
1127;I liked the food at this quasi-thai restaurant.
1217;Unlike HH up the block, this place actually gives you hearty and hot bagels this town is known for.
1028;What generous portions!
1082;So, the menu is written in chalk above your head and it all sounds delicious.
1080;The highly spiced chai tea was great too.
1641;Seriously, this is the best all you can eat in town- As everyone says, the Spicy Tuna hand rolls are the best- have 4 of these, and you've broken even.
1724;But the best part about LS is the late night atmosphere, delightfully free of the BTs.
1031;You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.
1205;This is the best sushi in new york city - hands down.
1419;The Thali was small, thoroughly unremarkable, and $14.95.
181;The food here is rather good, but only if you like to wait for it.
1465;though the service could be better (possibly due to more than one very large group in the house), it is very cordial and warm, as is the general clientele.
1544;This is a cute place and could be good but they need to get their act together.
1341;Service was very friendly.
1011;We actually left hungry and went across the street to Wo Hop at 15 Mott street for some good chinese food.
14;The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place.
160;We ended our great experience by having Gulab Jamun (dessert) recommended by the waiter.
116;I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.
1010;And the bill was outragous.
1288;The owners and employees are friendly and their pizza is fantastic.
1723;The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.
1795;It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.
1276;A great way to make some money is to buy a case of snapple from Costco and sell it right outside for only $2.50.
1519;The staff is excellent, specjal: that girl behind the bar, european chic.
1009;The service was bad, the food took to forever to come, we sat on the upper level.
1460;The decor is nice, but more casual than fine dining.
1338;Bottom line: B+ for the food, F for the service.
1625;The only thing the waiters don't do for you is wipe your chin when you leave.
1604;I've been to Naples 45 for dinner twice.
1440;The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.
1771;believe us, we've been eating sushi for over 15 yrs.
1394;The atmosphere is much better than Sripraphai (more modern and sleek).
1708;I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.
1061;Service is fast and friendly.
1514;And they have these home made potato chips at the bar that are the most delicious things in the world!
130;The service is ok but could be better.
1683;The vibe is very relaxed and cozy, service was great and the food was excellent!
1171;Never in my life did I think that I could be satisfied both in taste and in quantity for $3.00 in NYC.
1518;this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.
1156;Jimmy's is hands down the hottest night spot in the Bronx.
1715;I would definitely go back -- if only for some of those exotic martinis on the blackboard.
1643;Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.
185;Also, specify if you like your food spicy- its rather bland if you don't.
1710;Our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food.
164;The entire place and the treatment we received felt as a conveyor belt.
1480;Joe's Pizza used to have the best slice until this pizzeria opened up.
1839;Food is great and inexpensive.
1756;The price very reasonable.
1097;I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.
1186;It only took about five or so minutes to get an empty table, but standing up wasn't too bad.
1295;The counter service is bad.
1491;The sauce is delicious and the crust is perfect.
1601;They have some great entrees here as well.
1794;Oh, but wait, we were out of drinks (which were also delightfully overpriced).
1163;The service is fantastic.
1109;The garlic mashed potatoes are hands down the best in the city!
1748;Great pizza and fantastic service.
1428;I went there for lunch and it was not as good as I expected from the reviews I read.
1639;The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.
1417;I ordered a Lassi and asked 4 times for it but never got it.
1030;As far as the service goes, the waitresses were not particularly friendly, but they got the job done.
1782;Taxan delicious!
1649;This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.
1195;The sushi is average and the prices are anything but.
1693;Owner must have coem on this website to give himself credit.
1496;Turned out there was full service upstairs and sat down.
1399;The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.
1024;If you're looking for a place to sit down, have a drink and conversations with friends, go to sweet-n-tart and order yourself a hong-kong styled milk and tea with tapioca pearls (hot).
1483;They're also friendlier here, especially the owner, Kenny.
1701;Winnie and her staff are the best crew you can find serving you.
1086;You can even get packages of the chutneys to stock your fridge!
1231;Pick a bagel has the best bagels in the city.
1676;You are paying for the atmosphere, which is nice, but can be had in numerous places in Bay Ridge.
1699;The fried dumplings are GREAT!
147;This place has the best Chinese style BBQ ribs in the city.
1411;$6 and there is much tasty food, all of it fresh and continually refilled.
1566;Just straight up cheap, good food.
126;Seating is ok even though sometimes there's alot of people.
1207;Get the tuna of gari.
182;I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.
1416;Edible but really a ripoff at those prices given whats in the area.
1818;Service- friendly and attentive.
1718;Great food, great decor, great service.
1192;They sell special sushi, everything have a topping, sauce and etc.
1373;DO not try unless you're just going there to hang out like the rest of the hipsters who apparently have no sense of taste.
1325;I took my girlfriend there for her birthday last night and we had a relaxing, really good meal.
1528;I'm happy to have Nosh in the neighborhood and the food is very comforting.
1162;Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.
1716;Lucky Strike is a great casual place to just grab a bite to eat.
1003;Wonderful strawberry daiquiries as well!
1614;Going to Volare is like going to your favorite aunt's house for dinner, assuming that your aunt is a great Italian cook.
